group_url,after_vs_before_percentage_change
https://www.facebook.com/groups/3106689399451566,-2%
https://www.facebook.com/groups/255352721785771,3%
https://www.facebook.com/557034710993039,-2%
https://www.facebook.com/groups/286366068793713,3%
https://www.facebook.com/groups/717845721994278,-18%
https://www.facebook.com/groups/1380945465459453,-35%
https://www.facebook.com/groups/267428837831289,-46%
https://www.facebook.com/106049564684,-23%
https://www.facebook.com/809698062388699,-60%
https://www.facebook.com/groups/188656678210085,-28%
https://www.facebook.com/groups/224712018796273,68%
https://www.facebook.com/groups/351696368562307,14%
https://www.facebook.com/groups/226589437450706,-38%
https://www.facebook.com/groups/934290230389487,-9%
https://www.facebook.com/groups/1724943211069371,-42%
https://www.facebook.com/groups/327637701504155,-50%
https://www.facebook.com/groups/645122792637662,-11%
https://www.facebook.com/groups/758251534297155,41%
https://www.facebook.com/groups/2986773201384621,17%
https://www.facebook.com/groups/741393512704952,-9%
https://www.facebook.com/groups/426683700826009,-19%
https://www.facebook.com/groups/288126957924989,-23%
https://www.facebook.com/groups/2647587091960805,-47%
https://www.facebook.com/174028399278967,-70%
https://www.facebook.com/groups/428701557713036,65%
https://www.facebook.com/groups/2047323015495073,-31%
https://www.facebook.com/groups/3247348058642730,-4%
https://www.facebook.com/groups/324824717728533,-60%
https://www.facebook.com/1483323715310062,-14%
https://www.facebook.com/groups/1566934706954589,-17%
https://www.facebook.com/groups/3332382583652839,-29%
https://www.facebook.com/112838178884350,6%
https://www.facebook.com/573237029692265,-16%
https://www.facebook.com/groups/273285239406907,-9%
https://www.facebook.com/groups/1623090327910373,-5%
https://www.facebook.com/groups/1658318611108688,10%
https://www.facebook.com/groups/1656750397876828,-26%
https://www.facebook.com/1433309036742830,8%
https://www.facebook.com/122293914785208,-19%
https://www.facebook.com/groups/143385436498713,21%
https://www.facebook.com/groups/157024334907676,-8%
https://www.facebook.com/groups/1105212563201353,-52%
https://www.facebook.com/groups/129126187195865,51%
https://www.facebook.com/groups/2726066347675495,98%
https://www.facebook.com/groups/229658638858116,-18%
https://www.facebook.com/groups/313315701249,10%
https://www.facebook.com/groups/299966664740878,65%
https://www.facebook.com/groups/487169641466662,-40%
https://www.facebook.com/groups/335851880328521,-38%
https://www.facebook.com/groups/420932671926908,-32%
https://www.facebook.com/groups/159446313483,-2%
https://www.facebook.com/groups/598042901135893,-17%
https://www.facebook.com/groups/1426080960751182,3%
https://www.facebook.com/groups/614280442018479,22%
https://www.facebook.com/groups/2626568380915131,-40%
https://www.facebook.com/groups/145497708827772,16%
https://www.facebook.com/groups/342555540009668,-16%
https://www.facebook.com/groups/173164112723992,-19%
https://www.facebook.com/groups/2496515140664753,-30%
https://www.facebook.com/groups/2504077476563338,-62%
https://www.facebook.com/groups/102457919795803,35%
https://www.facebook.com/groups/1585223975059130,24%
https://www.facebook.com/groups/664734570941623,-4%
https://www.facebook.com/groups/1593293237549165,119%
https://www.facebook.com/groups/614378775328760,-28%
https://www.facebook.com/groups/706699386354396,-33%
https://www.facebook.com/groups/956639144530818,96%
https://www.facebook.com/groups/1564458763876198,15%
https://www.facebook.com/groups/452436915324882,-17%
https://www.facebook.com/groups/1052284415271761,-40%
https://www.facebook.com/groups/582579322699632,-95%
https://www.facebook.com/groups/144068519433124,-2%
https://www.facebook.com/groups/217095848399801,33%
https://www.facebook.com/groups/283126312549656,-21%
https://www.facebook.com/groups/687951421669783,-80%
https://www.facebook.com/groups/486493481526463,-19%
https://www.facebook.com/groups/209580362895547,-67%
https://www.facebook.com/groups/139764233318413,3%
https://www.facebook.com/groups/1540372529540082,41%
https://www.facebook.com/groups/519212659228869,-43%
https://www.facebook.com/groups/2841369072578316,44%
