domain_name,repeat_vs_free_percentage_change
sgtreport.com,-65%
planet-today.com,-73%
rumormillnews.com,41%
thetruthseeker.co.uk,-40%
thelibertybeacon.com,78%
investmentwatchblog.com,54%
ugetube.com,-86%
afinalwarning.com,-98%
iowaclimate.org,10%
survivethenews.com,-41%
yournews.com,-42%
freerepublic.com,-96%
dreddymd.com,69%
newagora.ca,48%
philosophers-stone.info,121%
montanadailygazette.com,39%
climatedepot.com,-58%
redvoicemedia.com,-61%
infiniteunknown.net,24%
eraoflight.com,-65%
theduran.com,-92%
truthcomestolight.com,-20%
nworeport.me,15%
freedombunker.com,586%
vaccines.news,348%
thedailycoin.org,-29%
bestnewshere.com,-26%
breakingchristiannews.com,-88%
alethonews.com,65%
iotwreport.com,-53%
agrdailynews.com,-26%
legitgov.org,-42%
paulcraigroberts.org,-30%
wattsupwiththat.com,-53%
eastonspectator.com,-14%
noesis2017.com,918%
conservativepapers.com,-100%
revolutionradio.org,25%
namelyliberty.com,471%
cfact.org,-60%
blazingpress.com,-60%
theburningplatform.com,29%
thewatchtowers.org,23%
cairnsnews.org,-80%
citizenfreepress.com,412%
ifunny.co,-27%
nexusnewsfeed.com,-70%
ncrenegade.com,-22%
iceagenow.info,-17%
x10host.com,-35%
sagaciousnewsnetwork.com,8%
thebl.com,-100%
algora.com,176%
nomorefakenews.com,-24%
extremelyamerican.com,-23%
joemiller.us,72%
educationviews.org,-69%
abovetopsecret.com,103%
uncensored.co.nz,4%
notrickszone.com,-42%
capoliticalreview.com,-9%
cogiito.com,43%
vladtepesblog.com,39%
whatreallyhappened.com,-89%
thebeltwayreport.com,-91%
causeaction.com,-47%
marktaliano.net,-91%
theuncensoredreport.com,-59%
revolver.news,-97%
fromrome.info,-78%
clashdaily.com,-32%
theirishsentinel.com,-64%
nouvelordremondial.cc,-52%
science.news,7%
climate-science.press,8326%
grandmageri422.me,-80%
christianresearchnetwork.org,-87%
theexpose.uk,31%
oom2.com,-22%
minds.com,503%
governmentslaves.news,13%
qwiket.com,-100%
libertarianhub.com,-57%
archive.is,40%
phibetaiota.net,-85%
republicbroadcasting.org,-38%
sciencetimes.com,-92%
fatherlyadviceandrants.com,-100%
coercioncode.com,-39%
trialsitenews.com,-36%
thepostmillennial.com,21%
politics.blog,-86%
cloudhedges.com,353%
smombiegate.org,-98%
americanconservativemovement.com,-85%
climatism.blog,-23%
orwell.city,-88%
archive.ph,-23%
climatesciencenews.com,-97%
gaia.com,-92%
americasfrontlinedoctors.org,67%
younews.in,-81%
therussophile.org,-93%
lenteconservador.com,-85%
thetattyjournal.org,-89%
wethepeopleconvention.org,-96%
lucianne.com,-55%
conspiracy411.info,-100%
freedomfirstnetwork.com,-78%
thefallingdarkness.com,52%
nwostop.com,145%
thetruereporter.com,-77%
thebl.tv,-100%
archive.vn,-14%
lockdownsceptics.org,-62%
ise.media,-68%
archive.fo,-49%
anthonyblogan.com,-96%
rallyingpatriots.com,253%
freeworldnews.tv,-34%
geoengineeringwatch.org,-58%
gospelnewsnetwork.org,-96%
cryptogon.com,452%
wrongthinkradio.com,-75%
republicaninsider.org,134%
anti-empire.com,-43%
libertysentinel.org,-78%
internationalfreepress.com,-93%
clintel.nl,-54%
visionlaunch.com,-89%
taketheredpillpeople.com,-84%
mavenroundtable.io,-64%
ourtube.co.uk,-74%
newslinks.net,-100%
ac2news.com,-88%
lisahaven.news,-42%
snap4face.com,-96%
zero5g.com,-57%
mentealternativa.com,22%
vaccinedamage.news,-100%
newshourfirst.com,-32%
metaphysicalmusing.com,-47%
christianitydaily.com,-78%
straightlinelogic.com,40%
prisonplanet.com,1830%
banthis.tv,-100%
thewashingtoncountyauditor.com,-44%
conservativenewsdaily.net,-67%
actuintel.com,0%
patriottruthnews.com,181%
rawconservativeopinions.com,-10%
newsrescue.com,-73%
thecommonsenseshow.com,16%
theunhivedmind.com,-100%
johnlocke.org,22%
truthusa.us,-61%
awakeningchannel.com,-17%
wearethene.ws,-9%
citizensjournal.us,-48%
healthnutnews.com,-53%
renovatio21.com,113%
usamagazinestudio.com,-56%
worthypolitics.com,-100%
jerseydeanne.com,-94%
humanevents.com,-96%
conservativewoman.co.uk,-7%
worlddoctorsalliance.com,-90%
fucknewworldorder.org,-100%
paranormal.lt,-78%
galacticconnection.com,107%
conservativeplaylist.com,-72%
operanewsapp.com,-44%
thelibertydaily.com,-67%
survivalmagazine.org,79%
dailyinformer.com,-71%
climate.news,463%
