group_url,repeat_vs_free_percentage_change
https://www.facebook.com/groups/259102612134453,-41%
https://www.facebook.com/groups/176428793294931,-9%
https://www.facebook.com/groups/601457473284916,8%
https://www.facebook.com/groups/904260713402776,30%
https://www.facebook.com/300107833870025,-10%
https://www.facebook.com/groups/2661030000846428,-3%
https://www.facebook.com/groups/154756498552558,-57%
https://www.facebook.com/groups/233592341314716,10%
https://www.facebook.com/groups/3103373293019201,-47%
https://www.facebook.com/groups/3102034193375460,-81%
https://www.facebook.com/groups/841174699995305,-52%
https://www.facebook.com/groups/438535330787772,-50%
https://www.facebook.com/groups/114650642075354,-38%
https://www.facebook.com/groups/335248124803281,-59%
https://www.facebook.com/1681548138813700,-33%
https://www.facebook.com/groups/662352854448292,0%
https://www.facebook.com/groups/701638147068376,-5%
https://www.facebook.com/1615412695211929,-34%
https://www.facebook.com/groups/2891762557528612,-50%
https://www.facebook.com/groups/612632162257109,6%
https://www.facebook.com/groups/1659160327431099,-48%
https://www.facebook.com/groups/2369524333340276,-42%
https://www.facebook.com/groups/707627759598338,-38%
https://www.facebook.com/groups/248094575314898,15%
https://www.facebook.com/42443142966,19%
https://www.facebook.com/groups/1295528243825961,-19%
https://www.facebook.com/groups/4886313124777507,-71%
https://www.facebook.com/groups/224318885472359,-14%
https://www.facebook.com/groups/2120783217972354,-25%
https://www.facebook.com/groups/1649848225293833,-38%
https://www.facebook.com/groups/561812047816290,-19%
https://www.facebook.com/groups/3079974958688094,-9%
https://www.facebook.com/124013367625262,67%
https://www.facebook.com/groups/2876690109254479,2%
https://www.facebook.com/groups/582427486039629,-20%
https://www.facebook.com/groups/2316028331757341,15%
https://www.facebook.com/groups/309700403618466,-18%
https://www.facebook.com/groups/252594152618602,-23%
https://www.facebook.com/1198002033544520,-30%
https://www.facebook.com/groups/533181520051413,77%
https://www.facebook.com/groups/246785959867588,7%
https://www.facebook.com/313808225298016,15%
https://www.facebook.com/groups/230040138059037,-55%
https://www.facebook.com/groups/132391023573801,-20%
https://www.facebook.com/groups/847531265756559,-58%
https://www.facebook.com/groups/870072023744193,-68%
https://www.facebook.com/groups/566936443939858,-48%
https://www.facebook.com/groups/997449230325828,-47%
https://www.facebook.com/groups/1569598233064624,-55%
https://www.facebook.com/groups/753668448636281,-77%
https://www.facebook.com/groups/121429067911803,5%
https://www.facebook.com/groups/110883345731728,-24%
https://www.facebook.com/groups/1495447363989047,-55%
https://www.facebook.com/groups/603783753552150,-4%
https://www.facebook.com/groups/955439524552821,-24%
https://www.facebook.com/groups/253146305739242,-24%
https://www.facebook.com/groups/908275386307185,-16%
https://www.facebook.com/groups/1790005637805052,-34%
https://www.facebook.com/groups/158925390797143,1%
https://www.facebook.com/1220117708132394,-50%
https://www.facebook.com/groups/835147217006697,-39%
