group_url,repeat_vs_free_percentage_change
https://www.facebook.com/groups/512448062144110,-35%
https://www.facebook.com/groups/478302976039025,8%
https://www.facebook.com/groups/305983127343958,-40%
https://www.facebook.com/groups/756339098049947,-36%
https://www.facebook.com/groups/372965097326044,-9%
https://www.facebook.com/groups/1908788856028251,-10%
https://www.facebook.com/groups/388459482350768,-32%
https://www.facebook.com/groups/937386846457555,-28%
https://www.facebook.com/groups/547441373156792,-52%
https://www.facebook.com/1869250196644008,-30%
https://www.facebook.com/groups/2592398571009845,5%
https://www.facebook.com/groups/1608782462630839,-45%
https://www.facebook.com/groups/131915778646395,32%
https://www.facebook.com/groups/420228668983974,-7%
https://www.facebook.com/groups/4128967880506164,-50%
https://www.facebook.com/groups/743755019608693,-64%
https://www.facebook.com/groups/710619753102925,-31%
https://www.facebook.com/groups/138599678102481,-67%
https://www.facebook.com/groups/3684690078224943,-38%
https://www.facebook.com/groups/300670907833306,-42%
https://www.facebook.com/groups/335692274096828,3%
https://www.facebook.com/groups/853435021863547,-59%
https://www.facebook.com/groups/405474163634094,-12%
https://www.facebook.com/107023686000671,-11%
https://www.facebook.com/groups/3068849170068904,-73%
https://www.facebook.com/groups/234150374025056,-16%
https://www.facebook.com/groups/306477473132653,28%
https://www.facebook.com/groups/2948510171836909,-36%
https://www.facebook.com/groups/225597298888773,-25%
https://www.facebook.com/groups/540173533629892,-74%
https://www.facebook.com/groups/609876652936892,2%
https://www.facebook.com/groups/639131720366879,-39%
https://www.facebook.com/groups/1250734815048111,-29%
https://www.facebook.com/groups/3572778282834130,-46%
https://www.facebook.com/333589004105132,-16%
https://www.facebook.com/groups/1443691302611367,14%
https://www.facebook.com/1361786743870068,3%
https://www.facebook.com/groups/2780739088919109,-1%
https://www.facebook.com/groups/997782990432459,-29%
https://www.facebook.com/groups/795416421092197,-33%
https://www.facebook.com/groups/1591321524466392,-40%
https://www.facebook.com/1655955358022417,-11%
https://www.facebook.com/groups/414296235396690,-36%
https://www.facebook.com/groups/879563182809926,-43%
https://www.facebook.com/groups/225136279195825,-31%
https://www.facebook.com/groups/1288500034822815,-41%
https://www.facebook.com/groups/228142555200570,-57%
https://www.facebook.com/groups/1592734257659285,-17%
https://www.facebook.com/groups/848775732329152,-24%
https://www.facebook.com/groups/520978924958538,-37%
https://www.facebook.com/groups/2887679928146376,-2%
https://www.facebook.com/groups/170265033739756,-67%
https://www.facebook.com/groups/1171141586593204,-39%
https://www.facebook.com/groups/358310851193262,-42%
https://www.facebook.com/groups/241633893610959,-39%
https://www.facebook.com/groups/256791685453542,-83%
https://www.facebook.com/1326754280764340,-30%
https://www.facebook.com/groups/779308696234566,-39%
https://www.facebook.com/groups/1167467090082059,-39%
https://www.facebook.com/groups/1178453042284676,-38%
https://www.facebook.com/groups/2852748525053380,-44%
https://www.facebook.com/groups/834182423364601,-44%
https://www.facebook.com/groups/2000672516650620,-18%
https://www.facebook.com/groups/364377720935252,-9%
https://www.facebook.com/26012226159,-26%
https://www.facebook.com/groups/520829698588121,-23%
https://www.facebook.com/groups/845525742466504,-12%
https://www.facebook.com/groups/338984993477701,-44%
https://www.facebook.com/groups/247053632446276,-83%
https://www.facebook.com/groups/714640365773539,-36%
https://www.facebook.com/groups/614469185256317,-27%
https://www.facebook.com/groups/395481481833873,-45%
https://www.facebook.com/groups/266693034384513,-3%
https://www.facebook.com/groups/390875878492780,-37%
https://www.facebook.com/groups/273619983914170,-8%
https://www.facebook.com/1228764303871839,-28%
https://www.facebook.com/groups/263417570742040,-34%
